base_score, [481.84259995]
age,Score
"(-inf, 41.0]",-4.029270497936612
"(41.0, 52.0]",-2.260533424840181
"(52.0, 61.0]",1.3992290446032078
"(61.0, 74.0]",8.474055460337006
"(74.0, inf]",14.460144516374944
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.0602]",54.07507263707174
"(0.0602, 0.297]",19.33609426178907
"(0.297, 0.638]",-8.62537319336001
"(0.638, 0.983]",-28.23191293841543
"(0.983, 1.0]",-10.619865459391574
"(1.0, inf]",-45.73278592572363
DebtRatio,Score
"(-inf, 0.504]",2.3875253744480887
"(0.504, 1.445]",-11.647326878625838
"(1.445, inf]",4.2773718430756285
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",-1.7722332771501623
"(1.0, 3.0]",-0.7258418678924535
"(3.0, 5.0]",-0.11802397151316091
"(5.0, 17.0]",0.27120475100461033
"(17.0, inf]",0.9407021665740884
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",5.591296008452172
"(0.0, 1.0]",-13.83075856081561
"(1.0, 2.0]",-22.070984662186405
"(2.0, inf]",-23.893243464467734
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",3.956377106257006
"(0.0, 1.0]",-29.47067566834531
"(1.0, 2.0]",-38.05145046837403
"(2.0, inf]",-40.45083625058842
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-11.197691839866222
"(0.0, 1.0]",5.2574173038734235
"(1.0, 2.0]",18.043220988830885
"(2.0, 4.0]",11.633563345625639
"(4.0, inf]",-9.544002550283828
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",1.1237479234665282
"(0.0, 1.0]",-12.410515702208185
"(1.0, 2.0]",-15.685765405936158
"(2.0, inf]",-16.049951529650674
NumberOfDependents,Score
"(-inf, 0.0]",14.596566989131937
"(0.0, 1.0]",-13.824327209174077
"(1.0, 2.0]",-12.461593144877485
"(2.0, inf]",-10.833429463616033
